price,airline,departure_time,arrival_time,duration,stops
,Medellín,"Sun, Dec 15","Sun, Jan 19",,
,Tahiti,"Sun, Dec 15","Sun, Jan 19",,
,Nassau,"Sun, Dec 15","Sun, Jan 19",,
,Easter Island,"Sun, Dec 15","Sun, Jan 19",,
,Saint Barthélemy,"Sun, Dec 15","Sun, Jan 19",,
,Tulum,"Sun, Dec 15","Sun, Jan 19",,
"$5,614",Merida,"Sun, Dec 15","Sun, Jan 19",16 hr 41 min,2 stops
,Sint Maarten,"Sun, Dec 15","Sun, Jan 19",,
,Panama City,"Sun, Dec 15","Sun, Jan 19",,
,Mendoza,"Sun, Dec 15","Sun, Jan 19",,
,Bonaire,"Sun, Dec 15","Sun, Jan 19",,
,Montego Bay,"Sun, Dec 15","Sun, Jan 19",,
